store_id,ate,se,t,p,n_events,pretrend_pass,pretrend_fail_rate,effect_horizon,peak_time,confidence,cooldown_weeks,recommendation_mode,delta_pct_cut_candidates,delta_pct_raise_candidates,scope,direction
CA_1,0.6316928626080662,0.0349095990630288,18.095105058856507,3.4827922413852785e-73,901,0,0.8571428571428571,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
CA_2,0.7793875222901163,0.0406002887286516,19.196600484767064,3.951212583600061e-82,812,0,0.8571428571428571,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
CA_3,0.2550956781013298,0.0472734074990667,5.396177081298099,6.807576170553964e-08,784,0,1.0,8,8,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
CA_4,0.5454291081024982,0.0295851212538564,18.43592606643116,6.76504311342327e-76,911,0,0.5714285714285714,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
TX_1,0.5541820969090078,0.0345975974019802,16.017935883527215,9.577721537991548e-58,778,0,0.5714285714285714,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
TX_2,0.6102486563550884,0.0384066692586997,15.889132490104078,7.536330892631767e-57,824,1,0.14285714285714285,8,1,1.0,8,normal,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
TX_3,0.6292875030329159,0.0358002348552996,17.5777478995996,3.647802635369469e-69,867,1,0.14285714285714285,8,0,1.0,8,normal,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
WI_1,0.5502669236202733,0.0332778950443331,16.53550871794032,2.0365158751763814e-61,894,0,0.7142857142857143,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
WI_2,0.64559789166159,0.0336092033285057,19.20896146663569,3.1143392922160626e-82,895,0,1.0,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
WI_3,0.6468849084877271,0.0370394072492752,17.46477485814477,2.6574752458029634e-68,869,0,0.2857142857142857,8,1,0.8,8,audit_only,"[-0.03,-0.05,-0.08]","[0.02,0.03]",overall,
CA_1,0.8869091681095848,0.050963436365793,17.402852542040968,7.849481647051475e-68,425,1,0.14285714285714285,8,1,1.0,8,normal,,,by_direction,down
CA_1,0.4041238690625637,0.0454631351507017,8.889045327009882,6.163618320484053e-19,476,0,0.8571428571428571,8,8,0.8,8,audit_only,,,by_direction,up
CA_2,1.028819233756432,0.0588000041812913,17.49692449994375,1.512170702771914e-68,402,1,0.0,8,1,1.0,8,normal,,,by_direction,down
CA_2,0.5339418123592182,0.0533819213178084,10.002296642348329,1.489029920674103e-23,410,0,0.8571428571428571,8,1,0.8,8,audit_only,,,by_direction,up
CA_3,0.0135040924691501,0.0614417882876891,0.2197867745307132,0.8260372201957539,489,0,1.0,8,8,0.0,8,audit_only,,,by_direction,down
CA_3,0.654978480986356,0.0675104073852542,9.701889032437055,2.9596739415642714e-22,295,0,1.0,8,1,0.8,8,audit_only,,,by_direction,up
CA_4,0.7355661934537203,0.0417773576453369,17.606814669759803,2.1839440396275352e-69,433,1,0.0,8,1,1.0,8,normal,,,by_direction,down
CA_4,0.372890827390674,0.0402383245151934,9.267056515980816,1.913536430606289e-20,478,0,1.0,8,1,0.8,8,audit_only,,,by_direction,up
TX_1,0.572931171719717,0.045229445544803,12.667216341447006,8.984644879787422e-37,454,1,0.0,8,1,1.0,8,normal,,,by_direction,down
TX_1,0.5278082528310791,0.0537655559205645,9.816847306682453,9.527667769674211e-23,324,0,1.0,8,1,0.8,8,audit_only,,,by_direction,up
TX_2,0.6728779601619703,0.0531849811369557,12.65165363938466,1.095445763424346e-36,465,1,0.0,8,1,1.0,8,normal,,,by_direction,down
TX_2,0.5290081243605812,0.0547798762318864,9.656979181940072,4.592050404370508e-22,359,1,0.14285714285714285,8,1,1.0,8,normal,,,by_direction,up
TX_3,0.6856349367017436,0.0480086919391905,14.28147506226982,2.854939017034111e-46,510,1,0.0,8,1,1.0,8,normal,,,by_direction,down
TX_3,0.5489013994527036,0.0532309906413017,10.311688601692351,6.239523934740138e-25,357,0,0.8571428571428571,8,0,0.8,8,audit_only,,,by_direction,up
WI_1,0.7062452988156258,0.0477385265457281,14.794032198273287,1.6007015209605665e-49,435,1,0.0,8,1,1.0,8,normal,,,by_direction,down
WI_1,0.4019441911888275,0.0453966308426198,8.854053345550678,8.439701856291138e-19,459,0,0.7142857142857143,8,2,0.8,8,audit_only,,,by_direction,up
WI_2,0.7756780868335333,0.0443714534634884,17.481466715346816,1.9833127432647333e-68,478,0,0.2857142857142857,8,1,0.8,8,audit_only,,,by_direction,down
WI_2,0.49576215960212,0.0502382759678202,9.868216017597362,5.717235061723913e-23,417,0,0.8571428571428571,8,2,0.8,8,audit_only,,,by_direction,up
WI_3,0.8675580208378691,0.0554461194029942,15.646866366467822,3.489857431322676e-55,418,1,0.0,8,1,1.0,8,normal,,,by_direction,down
WI_3,0.4411413161791654,0.0475448193207122,9.278430804489116,1.7199282370739505e-20,451,0,0.42857142857142855,8,0,0.8,8,audit_only,,,by_direction,up
