item_id,current_price,current_week_sales,dept_id,cat_id,state_id,recent_sales_mean,recent_sales_slope,recent_price_mean,store_id,wm_yr_wk,action,delta_pct,reason,confidence,suggested_price,score
HOUSEHOLD_2_516,5.94,0,HOUSEHOLD_2,HOUSEHOLD,CA,2.25,-1.3,5.94,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,5.94,0.0
FOODS_1_001,2.24,1,FOODS_1,FOODS,CA,6.25,-2.1,2.24,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,2.24,0.0
FOODS_1_002,9.48,0,FOODS_1,FOODS,CA,2.75,0.1,9.48,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,9.48,0.0
FOODS_1_003,3.23,1,FOODS_1,FOODS,CA,4.0,-0.8,3.23,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,3.23,0.0
FOODS_1_004,1.96,0,FOODS_1,FOODS,CA,0.0,0.0,1.9599999999999997,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,1.96,0.0
FOODS_1_005,3.54,5,FOODS_1,FOODS,CA,7.25,-0.1,3.54,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,3.54,0.0
FOODS_1_006,2.48,4,FOODS_1,FOODS,CA,10.25,-3.9,2.48,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,2.48,0.0
FOODS_1_008,3.54,0,FOODS_1,FOODS,CA,0.75,-0.3,3.54,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,3.54,0.0
FOODS_1_009,2.24,0,FOODS_1,FOODS,CA,0.0,0.0,2.24,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,2.24,0.0
HOUSEHOLD_2_500,5.84,1,HOUSEHOLD_2,HOUSEHOLD,CA,5.0,-2.4,5.839999999999999,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,5.84,0.0
HOUSEHOLD_2_499,1.97,1,HOUSEHOLD_2,HOUSEHOLD,CA,8.75,-2.3,1.97,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,1.97,0.0
HOUSEHOLD_2_498,2.96,2,HOUSEHOLD_2,HOUSEHOLD,CA,4.0,-1.0,2.96,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,2.96,0.0
HOUSEHOLD_2_497,6.48,0,HOUSEHOLD_2,HOUSEHOLD,CA,0.25,-0.3,6.4799999999999995,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,6.48,0.0
HOUSEHOLD_2_496,1.48,1,HOUSEHOLD_2,HOUSEHOLD,CA,3.5,-1.0,1.48,CA_1,11613,hold,0.0,pretrend_fail_hold,0.4,1.48,0.0
